task_group,plan_H,Ours,onlyFlat
,,,
small,0,78.363 pm 1.697,81.579 pm 1.601
small,40,91.374 pm 1.179,82.895 pm 1.516
small,80,90.205 pm 1.105,77.047 pm 1.825
small,160,91.667 pm 1.097,77.883 pm 1.928
medium,0,64.693 pm 1.620,69.846 pm 1.895
medium,40,77.083 pm 1.714,73.026 pm 1.873
medium,80,81.031 pm 1.680,67.654 pm 2.151
medium,160,80.811 pm 1.632,48.904 pm 1.995
large,0,57.749 pm 1.763,69.152 pm 2.312
large,40,64.181 pm 2.021,55.409 pm 2.257
large,80,74.708 pm 2.032,63.158 pm 2.077
large,160,73.830 pm 1.965,51.901 pm 2.382
