"B-T-L-H/n_ep","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - _step","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - _step__MIN","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - _step__MAX","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - B-T-L-H/B-T-L-H_return","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - B-T-L-H/B-T-L-H_return__MIN","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - B-T-L-H/B-T-L-H_return__MAX"
"0","726","726","726","0","0","0"
"1","727","727","727","0","0","0"
"2","728","728","728","1","1","1"
"3","729","729","729","1","1","1"
"4","730","730","730","2","2","2"
"5","731","731","731","0","0","0"
"6","732","732","732","0","0","0"
"7","733","733","733","1","1","1"
"8","734","734","734","1","1","1"
"9","735","735","735","4","4","4"
"10","736","736","736","1","1","1"
"11","737","737","737","3","3","3"
"12","738","738","738","4","4","4"
"13","739","739","739","1","1","1"
"14","740","740","740","0","0","0"
"15","741","741","741","4","4","4"
"16","742","742","742","2","2","2"
"17","743","743","743","3","3","3"
"18","744","744","744","1","1","1"
"19","745","745","745","2","2","2"
"20","746","746","746","0","0","0"
"21","747","747","747","1","1","1"
"22","748","748","748","2","2","2"
"23","749","749","749","3","3","3"
"24","750","750","750","2","2","2"
"25","751","751","751","2","2","2"
"26","752","752","752","1","1","1"
"27","753","753","753","0","0","0"
"28","754","754","754","2","2","2"
"29","755","755","755","2","2","2"
"30","756","756","756","0","0","0"
"31","757","757","757","0","0","0"
"32","758","758","758","0","0","0"
"33","759","759","759","2","2","2"
"34","760","760","760","2","2","2"
"35","761","761","761","2","2","2"
"36","762","762","762","1","1","1"
"37","763","763","763","0","0","0"
"38","764","764","764","0","0","0"
"39","765","765","765","2","2","2"
"40","766","766","766","0","0","0"
"41","767","767","767","2","2","2"
