"K-T-S-H/n_ep","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - _step","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - _step__MIN","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - _step__MAX","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - K-T-S-H/K-T-S-H_return","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - K-T-S-H/K-T-S-H_return__MIN","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - K-T-S-H/K-T-S-H_return__MAX"
"0","900","900","900","3","3","3"
"1","901","901","901","3","3","3"
"2","902","902","902","1","1","1"
"3","903","903","903","1","1","1"
"4","904","904","904","4","4","4"
"5","905","905","905","1","1","1"
"6","906","906","906","3","3","3"
"7","907","907","907","3","3","3"
"8","908","908","908","1","1","1"
"9","909","909","909","2","2","2"
"10","910","910","910","1","1","1"
"11","911","911","911","4","4","4"
"12","912","912","912","1","1","1"
"13","913","913","913","3","3","3"
"14","914","914","914","2","2","2"
"15","915","915","915","4","4","4"
"16","916","916","916","3","3","3"
"17","917","917","917","4","4","4"
"18","918","918","918","3","3","3"
"19","919","919","919","3","3","3"
"20","920","920","920","4","4","4"
"21","921","921","921","1","1","1"
"22","922","922","922","1","1","1"
"23","923","923","923","1","1","1"
"24","924","924","924","1","1","1"
"25","925","925","925","1","1","1"
"26","926","926","926","3","3","3"
"27","927","927","927","4","4","4"
"28","928","928","928","3","3","3"
"29","929","929","929","1","1","1"
"30","930","930","930","1","1","1"
"31","931","931","931","2","2","2"
"32","932","932","932","4","4","4"
"33","933","933","933","2","2","2"
"34","934","934","934","2","2","2"
"35","935","935","935","2","2","2"
"36","936","936","936","3","3","3"
"37","937","937","937","2","2","2"
"38","938","938","938","3","3","3"
"39","939","939","939","2","2","2"
"40","940","940","940","1","1","1"
"41","941","941","941","2","2","2"
"42","942","942","942","1","1","1"
"43","943","943","943","3","3","3"
"44","944","944","944","3","3","3"
"45","945","945","945","2","2","2"
