"M-T-L-S/n_ep","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - _step","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - _step__MIN","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - _step__MAX","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - M-T-L-S/M-T-L-S_return","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - M-T-L-S/M-T-L-S_return__MIN","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - M-T-L-S/M-T-L-S_return__MAX"
"0","1372","1372","1372","1","1","1"
"1","1373","1373","1373","0","0","0"
"2","1374","1374","1374","2","2","2"
"3","1375","1375","1375","0","0","0"
"4","1376","1376","1376","1","1","1"
"5","1377","1377","1377","2","2","2"
"6","1378","1378","1378","2","2","2"
"7","1379","1379","1379","0","0","0"
"8","1380","1380","1380","1","1","1"
"9","1381","1381","1381","0","0","0"
"10","1382","1382","1382","0","0","0"
"11","1383","1383","1383","0","0","0"
"12","1384","1384","1384","0","0","0"
"13","1385","1385","1385","2","2","2"
"14","1386","1386","1386","1","1","1"
"15","1387","1387","1387","1","1","1"
"16","1388","1388","1388","1","1","1"
"17","1389","1389","1389","4","4","4"
"18","1390","1390","1390","1","1","1"
"19","1391","1391","1391","2","2","2"
"20","1392","1392","1392","1","1","1"
"21","1393","1393","1393","1","1","1"
"22","1394","1394","1394","2","2","2"
"23","1395","1395","1395","2","2","2"
"24","1396","1396","1396","2","2","2"
"25","1397","1397","1397","2","2","2"
"26","1398","1398","1398","1","1","1"
"27","1399","1399","1399","1","1","1"
"28","1400","1400","1400","2","2","2"
"29","1401","1401","1401","2","2","2"
"30","1402","1402","1402","1","1","1"
"31","1403","1403","1403","1","1","1"
"32","1404","1404","1404","3","3","3"
"33","1405","1405","1405","2","2","2"
"34","1406","1406","1406","1","1","1"
"35","1407","1407","1407","1","1","1"
"36","1408","1408","1408","4","4","4"
"37","1409","1409","1409","1","1","1"
"38","1410","1410","1410","2","2","2"
"39","1411","1411","1411","1","1","1"
"40","1412","1412","1412","1","1","1"
"41","1413","1413","1413","1","1","1"
"42","1414","1414","1414","2","2","2"
"43","1415","1415","1415","1","1","1"
"44","1416","1416","1416","1","1","1"
"45","1417","1417","1417","1","1","1"
"46","1418","1418","1418","2","2","2"
"47","1419","1419","1419","2","2","2"
"48","1420","1420","1420","2","2","2"
