"M-K-T-S/n_ep","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - _step","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - _step__MIN","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - _step__MAX","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - M-K-T-S/M-K-T-S_return","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - M-K-T-S/M-K-T-S_return__MIN","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - M-K-T-S/M-K-T-S_return__MAX"
"0","1257","1257","1257","4","4","4"
"1","1258","1258","1258","4","4","4"
"2","1259","1259","1259","0","0","0"
"3","1260","1260","1260","2","2","2"
"4","1261","1261","1261","4","4","4"
"5","1262","1262","1262","0","0","0"
"6","1263","1263","1263","0","0","0"
"7","1264","1264","1264","2","2","2"
"8","1265","1265","1265","4","4","4"
"9","1266","1266","1266","0","0","0"
"10","1267","1267","1267","0","0","0"
"11","1268","1268","1268","2","2","2"
"12","1269","1269","1269","3","3","3"
"13","1270","1270","1270","0","0","0"
"14","1271","1271","1271","3","3","3"
"15","1272","1272","1272","4","4","4"
"16","1273","1273","1273","3","3","3"
"17","1274","1274","1274","0","0","0"
"18","1275","1275","1275","4","4","4"
"19","1276","1276","1276","4","4","4"
"20","1277","1277","1277","0","0","0"
"21","1278","1278","1278","1","1","1"
"22","1279","1279","1279","2","2","2"
"23","1280","1280","1280","3","3","3"
"24","1281","1281","1281","2","2","2"
"25","1282","1282","1282","3","3","3"
"26","1283","1283","1283","2","2","2"
"27","1284","1284","1284","4","4","4"
"28","1285","1285","1285","3","3","3"
"29","1286","1286","1286","2","2","2"
"30","1287","1287","1287","2","2","2"
"31","1288","1288","1288","4","4","4"
"32","1289","1289","1289","2","2","2"
"33","1290","1290","1290","3","3","3"
"34","1291","1291","1291","3","3","3"
"35","1292","1292","1292","4","4","4"
"36","1293","1293","1293","2","2","2"
"37","1294","1294","1294","2","2","2"
"38","1295","1295","1295","2","2","2"
"39","1296","1296","1296","2","2","2"
"40","1297","1297","1297","2","2","2"
"41","1298","1298","1298","1","1","1"
"42","1299","1299","1299","4","4","4"
"43","1300","1300","1300","3","3","3"
"44","1301","1301","1301","3","3","3"
"45","1302","1302","1302","4","4","4"
"46","1303","1303","1303","3","3","3"
"47","1304","1304","1304","4","4","4"
"48","1305","1305","1305","4","4","4"
"49","1306","1306","1306","2","2","2"
"50","1307","1307","1307","2","2","2"
"51","1308","1308","1308","4","4","4"
"52","1309","1309","1309","4","4","4"
"53","1310","1310","1310","2","2","2"
"54","1311","1311","1311","4","4","4"
"55","1312","1312","1312","4","4","4"
"56","1313","1313","1313","4","4","4"
"57","1314","1314","1314","2","2","2"
"58","1315","1315","1315","2","2","2"
"59","1316","1316","1316","3","3","3"
"60","1317","1317","1317","0","0","0"
"61","1318","1318","1318","4","4","4"
"62","1319","1319","1319","2","2","2"
"63","1320","1320","1320","4","4","4"
"64","1321","1321","1321","2","2","2"
"65","1322","1322","1322","3","3","3"
"66","1323","1323","1323","0","0","0"
"67","1324","1324","1324","4","4","4"
"68","1325","1325","1325","4","4","4"
"69","1326","1326","1326","4","4","4"
"70","1327","1327","1327","4","4","4"
"71","1328","1328","1328","2","2","2"
"72","1329","1329","1329","2","2","2"
"73","1330","1330","1330","4","4","4"
"74","1331","1331","1331","4","4","4"
"75","1332","1332","1332","2","2","2"
"76","1333","1333","1333","4","4","4"
"77","1334","1334","1334","4","4","4"
"78","1335","1335","1335","4","4","4"
"79","1336","1336","1336","4","4","4"
"80","1337","1337","1337","2","2","2"
"81","1338","1338","1338","2","2","2"
"82","1339","1339","1339","2","2","2"
"83","1340","1340","1340","4","4","4"
"84","1341","1341","1341","3","3","3"
"85","1342","1342","1342","2","2","2"
"86","1343","1343","1343","4","4","4"
"87","1344","1344","1344","2","2","2"
"88","1345","1345","1345","4","4","4"
"89","1346","1346","1346","4","4","4"
"90","1347","1347","1347","4","4","4"
"91","1348","1348","1348","4","4","4"
"92","1349","1349","1349","4","4","4"
"93","1350","1350","1350","4","4","4"
"94","1351","1351","1351","2","2","2"
"95","1352","1352","1352","0","0","0"
"96","1353","1353","1353","4","4","4"
"97","1354","1354","1354","4","4","4"
"98","1355","1355","1355","4","4","4"
"99","1356","1356","1356","4","4","4"
"100","1357","1357","1357","4","4","4"
"101","1358","1358","1358","4","4","4"
"102","1359","1359","1359","2","2","2"
"103","1360","1360","1360","2","2","2"
"104","1361","1361","1361","2","2","2"
"105","1362","1362","1362","4","4","4"
"106","1363","1363","1363","4","4","4"
"107","1364","1364","1364","4","4","4"
"108","1365","1365","1365","4","4","4"
"109","1366","1366","1366","4","4","4"
"110","1367","1367","1367","4","4","4"
"111","1368","1368","1368","4","4","4"
"112","1369","1369","1369","4","4","4"
"113","1370","1370","1370","4","4","4"
"114","1371","1371","1371","4","4","4"
