"M-B-L-H/n_ep","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - _step","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - _step__MIN","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - _step__MAX","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - M-B-L-H/M-B-L-H_return","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - M-B-L-H/M-B-L-H_return__MIN","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - M-B-L-H/M-B-L-H_return__MAX"
"0","1085","1085","1085","2","2","2"
"1","1086","1086","1086","3","3","3"
"2","1087","1087","1087","0","0","0"
"3","1088","1088","1088","3","3","3"
"4","1089","1089","1089","3","3","3"
"5","1090","1090","1090","1","1","1"
"6","1091","1091","1091","2","2","2"
"7","1092","1092","1092","2","2","2"
"8","1093","1093","1093","0","0","0"
"9","1094","1094","1094","2","2","2"
"10","1095","1095","1095","1","1","1"
"11","1096","1096","1096","0","0","0"
"12","1097","1097","1097","2","2","2"
"13","1098","1098","1098","0","0","0"
"14","1099","1099","1099","1","1","1"
"15","1100","1100","1100","2","2","2"
"16","1101","1101","1101","2","2","2"
"17","1102","1102","1102","1","1","1"
"18","1103","1103","1103","0","0","0"
"19","1104","1104","1104","1","1","1"
"20","1105","1105","1105","0","0","0"
"21","1106","1106","1106","1","1","1"
"22","1107","1107","1107","1","1","1"
"23","1108","1108","1108","2","2","2"
"24","1109","1109","1109","0","0","0"
"25","1110","1110","1110","1","1","1"
"26","1111","1111","1111","2","2","2"
"27","1112","1112","1112","1","1","1"
"28","1113","1113","1113","2","2","2"
"29","1114","1114","1114","2","2","2"
"30","1115","1115","1115","2","2","2"
"31","1116","1116","1116","1","1","1"
"32","1117","1117","1117","2","2","2"
"33","1118","1118","1118","2","2","2"
"34","1119","1119","1119","1","1","1"
"35","1120","1120","1120","3","3","3"
"36","1121","1121","1121","2","2","2"
"37","1122","1122","1122","1","1","1"
"38","1123","1123","1123","4","4","4"
"39","1124","1124","1124","2","2","2"
"40","1125","1125","1125","2","2","2"
"41","1126","1126","1126","2","2","2"
"42","1127","1127","1127","4","4","4"
"43","1128","1128","1128","3","3","3"
"44","1129","1129","1129","3","3","3"
"45","1130","1130","1130","1","1","1"
"46","1131","1131","1131","2","2","2"
"47","1132","1132","1132","2","2","2"
"48","1133","1133","1133","3","3","3"
"49","1134","1134","1134","3","3","3"
"50","1135","1135","1135","1","1","1"
"51","1136","1136","1136","2","2","2"
"52","1137","1137","1137","2","2","2"
"53","1138","1138","1138","3","3","3"
"54","1139","1139","1139","1","1","1"
"55","1140","1140","1140","4","4","4"
"56","1141","1141","1141","2","2","2"
"57","1142","1142","1142","3","3","3"
"58","1143","1143","1143","4","4","4"
"59","1144","1144","1144","2","2","2"
"60","1145","1145","1145","2","2","2"
"61","1146","1146","1146","3","3","3"
"62","1147","1147","1147","3","3","3"
"63","1148","1148","1148","3","3","3"
"64","1149","1149","1149","2","2","2"
"65","1150","1150","1150","2","2","2"
"66","1151","1151","1151","2","2","2"
"67","1152","1152","1152","3","3","3"
"68","1153","1153","1153","3","3","3"
"69","1154","1154","1154","3","3","3"
"70","1155","1155","1155","3","3","3"
"71","1156","1156","1156","2","2","2"
"72","1157","1157","1157","3","3","3"
"73","1158","1158","1158","3","3","3"
"74","1159","1159","1159","2","2","2"
"75","1160","1160","1160","3","3","3"
"76","1161","1161","1161","3","3","3"
"77","1162","1162","1162","3","3","3"
"78","1163","1163","1163","3","3","3"
"79","1164","1164","1164","3","3","3"
"80","1165","1165","1165","2","2","2"
"81","1166","1166","1166","1","1","1"
"82","1167","1167","1167","3","3","3"
"83","1168","1168","1168","3","3","3"
"84","1169","1169","1169","2","2","2"
"85","1170","1170","1170","3","3","3"
"86","1171","1171","1171","2","2","2"
"87","1172","1172","1172","4","4","4"
"88","1173","1173","1173","3","3","3"
"89","1174","1174","1174","3","3","3"
"90","1175","1175","1175","3","3","3"
"91","1176","1176","1176","4","4","4"
"92","1177","1177","1177","3","3","3"
"93","1178","1178","1178","0","0","0"
"94","1179","1179","1179","3","3","3"
"95","1180","1180","1180","3","3","3"
"96","1181","1181","1181","4","4","4"
"97","1182","1182","1182","3","3","3"
"98","1183","1183","1183","3","3","3"
"99","1184","1184","1184","3","3","3"
"100","1185","1185","1185","2","2","2"
"101","1186","1186","1186","3","3","3"
"102","1187","1187","1187","2","2","2"
"103","1188","1188","1188","4","4","4"
"104","1189","1189","1189","2","2","2"
"105","1190","1190","1190","3","3","3"
"106","1191","1191","1191","3","3","3"
"107","1192","1192","1192","4","4","4"
"108","1193","1193","1193","2","2","2"
"109","1194","1194","1194","3","3","3"
"110","1195","1195","1195","2","2","2"
"111","1196","1196","1196","3","3","3"
"112","1197","1197","1197","4","4","4"
"113","1198","1198","1198","2","2","2"
"114","1199","1199","1199","2","2","2"
"115","1200","1200","1200","3","3","3"
"116","1201","1201","1201","3","3","3"
"117","1202","1202","1202","2","2","2"
"118","1203","1203","1203","3","3","3"
"119","1204","1204","1204","3","3","3"
"120","1205","1205","1205","2","2","2"
"121","1206","1206","1206","3","3","3"
"122","1207","1207","1207","2","2","2"
"123","1208","1208","1208","3","3","3"
"124","1209","1209","1209","4","4","4"
"125","1210","1210","1210","2","2","2"
"126","1211","1211","1211","3","3","3"
"127","1212","1212","1212","3","3","3"
"128","1213","1213","1213","4","4","4"
"129","1214","1214","1214","2","2","2"
"130","1215","1215","1215","3","3","3"
"131","1216","1216","1216","3","3","3"
"132","1217","1217","1217","3","3","3"
"133","1218","1218","1218","3","3","3"
"134","1219","1219","1219","2","2","2"
"135","1220","1220","1220","4","4","4"
"136","1221","1221","1221","4","4","4"
"137","1222","1222","1222","4","4","4"
"138","1223","1223","1223","4","4","4"
"139","1224","1224","1224","4","4","4"
"140","1225","1225","1225","2","2","2"
"141","1226","1226","1226","1","1","1"
"142","1227","1227","1227","4","4","4"
"143","1228","1228","1228","3","3","3"
"144","1229","1229","1229","3","3","3"
"145","1230","1230","1230","4","4","4"
"146","1231","1231","1231","3","3","3"
"147","1232","1232","1232","4","4","4"
"148","1233","1233","1233","2","2","2"
"149","1234","1234","1234","3","3","3"
"150","1235","1235","1235","3","3","3"
"151","1236","1236","1236","4","4","4"
"152","1237","1237","1237","4","4","4"
"153","1238","1238","1238","3","3","3"
"154","1239","1239","1239","4","4","4"
"155","1240","1240","1240","2","2","2"
"156","1241","1241","1241","3","3","3"
"157","1242","1242","1242","4","4","4"
"158","1243","1243","1243","1","1","1"
"159","1244","1244","1244","2","2","2"
"160","1245","1245","1245","4","4","4"
"161","1246","1246","1246","2","2","2"
"162","1247","1247","1247","4","4","4"
"163","1248","1248","1248","4","4","4"
"164","1249","1249","1249","4","4","4"
"165","1250","1250","1250","4","4","4"
"166","1251","1251","1251","4","4","4"
"167","1252","1252","1252","4","4","4"
"168","1253","1253","1253","4","4","4"
"169","1254","1254","1254","4","4","4"
"170","1255","1255","1255","3","3","3"
"171","1256","1256","1256","4","4","4"
