"B-L-S-H/n_ep","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - _step","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - _step__MIN","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - _step__MAX","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - B-L-S-H/B-L-S-H_return","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - B-L-S-H/B-L-S-H_return__MIN","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - B-L-S-H/B-L-S-H_return__MAX"
"0","562","562","562","0","0","0"
"1","563","563","563","3","3","3"
"2","564","564","564","1","1","1"
"3","565","565","565","4","4","4"
"4","566","566","566","2","2","2"
"5","567","567","567","1","1","1"
"6","568","568","568","4","4","4"
"7","569","569","569","4","4","4"
"8","570","570","570","4","4","4"
"9","571","571","571","0","0","0"
"10","572","572","572","4","4","4"
"11","573","573","573","1","1","1"
"12","574","574","574","0","0","0"
"13","575","575","575","4","4","4"
"14","576","576","576","1","1","1"
"15","577","577","577","3","3","3"
"16","578","578","578","1","1","1"
"17","579","579","579","1","1","1"
"18","580","580","580","3","3","3"
"19","581","581","581","3","3","3"
"20","582","582","582","1","1","1"
"21","583","583","583","4","4","4"
"22","584","584","584","3","3","3"
"23","585","585","585","3","3","3"
"24","586","586","586","2","2","2"
"25","587","587","587","2","2","2"
"26","588","588","588","2","2","2"
"27","589","589","589","1","1","1"
"28","590","590","590","4","4","4"
"29","591","591","591","1","1","1"
"30","592","592","592","2","2","2"
"31","593","593","593","2","2","2"
"32","594","594","594","3","3","3"
"33","595","595","595","2","2","2"
"34","596","596","596","4","4","4"
"35","597","597","597","3","3","3"
"36","598","598","598","1","1","1"
"37","599","599","599","1","1","1"
"38","600","600","600","1","1","1"
"39","601","601","601","4","4","4"
"40","602","602","602","0","0","0"
"41","603","603","603","1","1","1"
"42","604","604","604","1","1","1"
"43","605","605","605","4","4","4"
"44","606","606","606","0","0","0"
"45","607","607","607","0","0","0"
"46","608","608","608","2","2","2"
"47","609","609","609","0","0","0"
"48","610","610","610","4","4","4"
"49","611","611","611","2","2","2"
"50","612","612","612","1","1","1"
"51","613","613","613","3","3","3"
"52","614","614","614","3","3","3"
"53","615","615","615","3","3","3"
"54","616","616","616","3","3","3"
"55","617","617","617","4","4","4"
"56","618","618","618","2","2","2"
"57","619","619","619","4","4","4"
"58","620","620","620","4","4","4"
"59","621","621","621","1","1","1"
"60","622","622","622","1","1","1"
"61","623","623","623","3","3","3"
"62","624","624","624","0","0","0"
"63","625","625","625","4","4","4"
"64","626","626","626","1","1","1"
"65","627","627","627","2","2","2"
"66","628","628","628","0","0","0"
"67","629","629","629","1","1","1"
"68","630","630","630","1","1","1"
"69","631","631","631","1","1","1"
"70","632","632","632","1","1","1"
"71","633","633","633","0","0","0"
"72","634","634","634","0","0","0"
"73","635","635","635","3","3","3"
"74","636","636","636","3","3","3"
"75","637","637","637","3","3","3"
"76","638","638","638","3","3","3"
"77","639","639","639","1","1","1"
"78","640","640","640","2","2","2"
"79","641","641","641","3","3","3"
"80","642","642","642","3","3","3"
"81","643","643","643","3","3","3"
"82","644","644","644","2","2","2"
"83","645","645","645","3","3","3"
"84","646","646","646","1","1","1"
"85","647","647","647","4","4","4"
"86","648","648","648","1","1","1"
"87","649","649","649","0","0","0"
"88","650","650","650","3","3","3"
"89","651","651","651","1","1","1"
"90","652","652","652","1","1","1"
"91","653","653","653","2","2","2"
"92","654","654","654","3","3","3"
"93","655","655","655","2","2","2"
"94","656","656","656","4","4","4"
"95","657","657","657","2","2","2"
"96","658","658","658","1","1","1"
"97","659","659","659","4","4","4"
"98","660","660","660","2","2","2"
"99","661","661","661","3","3","3"
"100","662","662","662","2","2","2"
"101","663","663","663","1","1","1"
"102","664","664","664","1","1","1"
"103","665","665","665","1","1","1"
"104","666","666","666","3","3","3"
"105","667","667","667","2","2","2"
"106","668","668","668","3","3","3"
"107","669","669","669","1","1","1"
"108","670","670","670","1","1","1"
"109","671","671","671","2","2","2"
"110","672","672","672","2","2","2"
"111","673","673","673","2","2","2"
"112","674","674","674","4","4","4"
"113","675","675","675","4","4","4"
"114","676","676","676","2","2","2"
"115","677","677","677","2","2","2"
"116","678","678","678","3","3","3"
"117","679","679","679","1","1","1"
"118","680","680","680","4","4","4"
"119","681","681","681","4","4","4"
"120","682","682","682","4","4","4"
"121","683","683","683","4","4","4"
"122","684","684","684","3","3","3"
"123","685","685","685","1","1","1"
"124","686","686","686","4","4","4"
"125","687","687","687","3","3","3"
"126","688","688","688","3","3","3"
"127","689","689","689","4","4","4"
"128","690","690","690","4","4","4"
"129","691","691","691","4","4","4"
"130","692","692","692","4","4","4"
"131","693","693","693","1","1","1"
"132","694","694","694","4","4","4"
"133","695","695","695","1","1","1"
"134","696","696","696","4","4","4"
"135","697","697","697","4","4","4"
"136","698","698","698","2","2","2"
"137","699","699","699","4","4","4"
"138","700","700","700","4","4","4"
"139","701","701","701","4","4","4"
"140","702","702","702","4","4","4"
"141","703","703","703","1","1","1"
"142","704","704","704","4","4","4"
"143","705","705","705","1","1","1"
"144","706","706","706","4","4","4"
"145","707","707","707","4","4","4"
"146","708","708","708","4","4","4"
"147","709","709","709","4","4","4"
"148","710","710","710","4","4","4"
"149","711","711","711","4","4","4"
"150","712","712","712","4","4","4"
"151","713","713","713","4","4","4"
"152","714","714","714","2","2","2"
"153","715","715","715","1","1","1"
"154","716","716","716","4","4","4"
"155","717","717","717","4","4","4"
"156","718","718","718","4","4","4"
"157","719","719","719","4","4","4"
"158","720","720","720","4","4","4"
"159","721","721","721","4","4","4"
"160","722","722","722","4","4","4"
"161","723","723","723","4","4","4"
"162","724","724","724","4","4","4"
"163","725","725","725","4","4","4"
