"M-T-S-H/n_ep","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - _step","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - _step__MIN","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - _step__MAX","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - M-T-S-H/M-T-S-H_return","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - M-T-S-H/M-T-S-H_return__MIN","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - M-T-S-H/M-T-S-H_return__MAX"
"0","288","288","288","3","3","3"
"1","289","289","289","0","0","0"
"2","290","290","290","0","0","0"
"3","291","291","291","4","4","4"
"4","292","292","292","1","1","1"
"5","293","293","293","2","2","2"
"6","294","294","294","0","0","0"
"7","295","295","295","1","1","1"
"8","296","296","296","0","0","0"
"9","297","297","297","3","3","3"
"10","298","298","298","0","0","0"
"11","299","299","299","2","2","2"
"12","300","300","300","1","1","1"
"13","301","301","301","0","0","0"
"14","302","302","302","1","1","1"
"15","303","303","303","0","0","0"
"16","304","304","304","1","1","1"
"17","305","305","305","0","0","0"
"18","306","306","306","1","1","1"
"19","307","307","307","2","2","2"
"20","308","308","308","2","2","2"
"21","309","309","309","1","1","1"
"22","310","310","310","1","1","1"
"23","311","311","311","1","1","1"
"24","312","312","312","1","1","1"
"25","313","313","313","1","1","1"
"26","314","314","314","1","1","1"
"27","315","315","315","3","3","3"
"28","316","316","316","2","2","2"
"29","317","317","317","1","1","1"
"30","318","318","318","1","1","1"
"31","319","319","319","1","1","1"
"32","320","320","320","1","1","1"
"33","321","321","321","2","2","2"
"34","322","322","322","1","1","1"
"35","323","323","323","2","2","2"
"36","324","324","324","1","1","1"
"37","325","325","325","2","2","2"
"38","326","326","326","1","1","1"
"39","327","327","327","1","1","1"
"40","328","328","328","2","2","2"
"41","329","329","329","0","0","0"
"42","330","330","330","2","2","2"
"43","331","331","331","1","1","1"
"44","332","332","332","1","1","1"
"45","333","333","333","0","0","0"
"46","334","334","334","3","3","3"
"47","335","335","335","1","1","1"
"48","336","336","336","1","1","1"
"49","337","337","337","3","3","3"
"50","338","338","338","2","2","2"
"51","339","339","339","3","3","3"
"52","340","340","340","2","2","2"
"53","341","341","341","1","1","1"
"54","342","342","342","1","1","1"
"55","343","343","343","1","1","1"
"56","344","344","344","1","1","1"
"57","345","345","345","1","1","1"
"58","346","346","346","2","2","2"
"59","347","347","347","1","1","1"
"60","348","348","348","1","1","1"
"61","349","349","349","3","3","3"
"62","350","350","350","2","2","2"
"63","351","351","351","3","3","3"
