"M-K-B-L/n_ep","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - _step","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - _step__MIN","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - _step__MAX","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - M-K-B-L/M-K-B-L_return","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - M-K-B-L/M-K-B-L_return__MIN","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - M-K-B-L/M-K-B-L_return__MAX"
"0","55","55","55","4","4","4"
"1","56","56","56","3","3","3"
"2","57","57","57","1","1","1"
"3","58","58","58","0","0","0"
"4","59","59","59","2","2","2"
"5","60","60","60","3","3","3"
"6","61","61","61","2","2","2"
"7","62","62","62","2","2","2"
"8","63","63","63","0","0","0"
"9","64","64","64","0","0","0"
"10","65","65","65","3","3","3"
"11","66","66","66","2","2","2"
"12","67","67","67","3","3","3"
"13","68","68","68","2","2","2"
"14","69","69","69","2","2","2"
"15","70","70","70","4","4","4"
"16","71","71","71","4","4","4"
"17","72","72","72","2","2","2"
"18","73","73","73","4","4","4"
"19","74","74","74","0","0","0"
"20","75","75","75","2","2","2"
"21","76","76","76","2","2","2"
"22","77","77","77","2","2","2"
"23","78","78","78","2","2","2"
"24","79","79","79","2","2","2"
"25","80","80","80","2","2","2"
"26","81","81","81","4","4","4"
"27","82","82","82","1","1","1"
"28","83","83","83","2","2","2"
"29","84","84","84","2","2","2"
"30","85","85","85","2","2","2"
"31","86","86","86","3","3","3"
"32","87","87","87","2","2","2"
"33","88","88","88","2","2","2"
"34","89","89","89","4","4","4"
"35","90","90","90","2","2","2"
"36","91","91","91","4","4","4"
"37","92","92","92","4","4","4"
"38","93","93","93","4","4","4"
"39","94","94","94","3","3","3"
"40","95","95","95","0","0","0"
"41","96","96","96","4","4","4"
"42","97","97","97","2","2","2"
"43","98","98","98","2","2","2"
"44","99","99","99","3","3","3"
"45","100","100","100","3","3","3"
"46","101","101","101","4","4","4"
"47","102","102","102","2","2","2"
"48","103","103","103","2","2","2"
"49","104","104","104","1","1","1"
"50","105","105","105","3","3","3"
"51","106","106","106","2","2","2"
"52","107","107","107","4","4","4"
"53","108","108","108","4","4","4"
"54","109","109","109","2","2","2"
"55","110","110","110","2","2","2"
"56","111","111","111","4","4","4"
"57","112","112","112","3","3","3"
"58","113","113","113","4","4","4"
"59","114","114","114","4","4","4"
"60","115","115","115","2","2","2"
"61","116","116","116","2","2","2"
"62","117","117","117","4","4","4"
"63","118","118","118","2","2","2"
"64","119","119","119","4","4","4"
"65","120","120","120","2","2","2"
"66","121","121","121","3","3","3"
"67","122","122","122","4","4","4"
"68","123","123","123","2","2","2"
"69","124","124","124","2","2","2"
"70","125","125","125","3","3","3"
"71","126","126","126","2","2","2"
"72","127","127","127","4","4","4"
"73","128","128","128","2","2","2"
"74","129","129","129","2","2","2"
"75","130","130","130","4","4","4"
"76","131","131","131","4","4","4"
"77","132","132","132","4","4","4"
"78","133","133","133","3","3","3"
"79","134","134","134","2","2","2"
"80","135","135","135","2","2","2"
"81","136","136","136","4","4","4"
"82","137","137","137","4","4","4"
"83","138","138","138","2","2","2"
"84","139","139","139","4","4","4"
"85","140","140","140","3","3","3"
"86","141","141","141","2","2","2"
"87","142","142","142","3","3","3"
"88","143","143","143","4","4","4"
"89","144","144","144","3","3","3"
"90","145","145","145","4","4","4"
"91","146","146","146","4","4","4"
"92","147","147","147","4","4","4"
"93","148","148","148","4","4","4"
"94","149","149","149","3","3","3"
"95","150","150","150","4","4","4"
"96","151","151","151","4","4","4"
"97","152","152","152","4","4","4"
"98","153","153","153","3","3","3"
